	# reads	% reads	fragment length	sample
24	8	0.004258853090862631	36	ribozero_p_of
25	44	0.023423691999744468	37	ribozero_p_of
26	23	0.012244202636230063	38	ribozero_p_of
27	15	0.007985349545367433	39	ribozero_p_of
28	21	0.011179489363514405	40	ribozero_p_of
0	113	0.0040379163922610655	12	qiagen_fastselect_1
1	469	0.016759139716552563	13	qiagen_fastselect_1
2	2045	0.07307556656791042	14	qiagen_fastselect_1
3	3542	0.12656902532202383	15	qiagen_fastselect_1
4	4671	0.16691245547125164	16	qiagen_fastselect_1
5	10306	0.36827226848356226	17	qiagen_fastselect_1
6	22774	0.8138009550208274	18	qiagen_fastselect_1
7	41996	1.5006755469858026	19	qiagen_fastselect_1
8	181551	6.4875022914282185	20	qiagen_fastselect_1
9	627383	22.418761946247113	21	qiagen_fastselect_1
10	263770	9.425497405192045	22	qiagen_fastselect_1
11	81056	2.896436735319583	23	qiagen_fastselect_1
12	46621	1.6659442488814435	24	qiagen_fastselect_1
13	67988	2.4294677847526134	25	qiagen_fastselect_1
14	170420	6.089749659903812	26	qiagen_fastselect_1
15	291345	10.410856206223894	27	qiagen_fastselect_1
16	334372	11.948373273567407	28	qiagen_fastselect_1
17	384336	13.733775526867689	29	qiagen_fastselect_1
18	183837	6.569189697381393	30	qiagen_fastselect_1
19	51678	1.846649940878472	31	qiagen_fastselect_1
20	15398	0.5502286425489901	32	qiagen_fastselect_1
21	8143	0.2909801166564766	33	qiagen_fastselect_1
22	3179	0.11359766558405245	34	qiagen_fastselect_1
23	845	0.030195038508500888	35	qiagen_fastselect_1
24	252	0.009004910892476004	36	qiagen_fastselect_1
25	221	0.007897163917607924	37	qiagen_fastselect_1
26	93	0.0033232409246042394	38	qiagen_fastselect_1
27	43	0.0015365522554621753	39	qiagen_fastselect_1
28	26	0.0009290781079538734	40	qiagen_fastselect_1
0	228	0.007016351792493243	12	qiagen_fastselect_2
1	773	0.023787894454374018	13	qiagen_fastselect_2
2	2578	0.07933401281161219	14	qiagen_fastselect_2
3	3892	0.11977035603677061	15	qiagen_fastselect_2
4	4578	0.14088095835979852	16	qiagen_fastselect_2
5	9094	0.27985396140760327	17	qiagen_fastselect_2
6	24637	0.7581660487353333	18	qiagen_fastselect_2
7	57321	1.7639662328837944	19	qiagen_fastselect_2
8	232033	7.14046120819116	20	qiagen_fastselect_2
9	750088	23.082812646173995	21	qiagen_fastselect_2
10	315004	9.693767017730444	22	qiagen_fastselect_2
